ID,FIRST NAME,LAST NAME,ADDRESS,CITY,ZIP
767603881,RIEGER,KANDIS,6388 LAFONTAINE RD,ORLEANS,56735
968788518,DUSTIN,YURI,3001 SCHUTT ST,DOVRAY,56125
910850002,KOWALCZYK,JOSPHINE,2239 RODRIQUES ST,SARATOGA,55972
320595186,KOWALCZYK,GIANNA,9919 LIPSEY RD,TROSKY,56144
501124907,TAVAREZ,MISS,70 SASS BLVD,SHOREVIEW,55126
976554502,RIDENHOUR,LALA,2896 ALBIN RD,MENDOTA HTS,55120
590243043,RICHERSON,KRISSY,4569 SHOULDERS BLVD,GILMAN,56333
16937946,LOWTHER,YULANDA,7174 HERSHEY ST,FRANCONIA,55074
85115382,LENHART,ROXY,4444 KNISLEY ST,DULUTH,55801
911602926,SESSION,MAILE,8557 LESHER RD,RENO,55919
480705405,GALLEGO,KENDA,1971 TOLLE ST,MILACA,56353
419403354,CORUM,CREOLA,3081 RICHERSON BLVD,GARFIELD,56332
406223434,PENNER,WEN,8925 LELAND PKWY,MINN,55440
156376760,BIGGERS,CREOLA,4027 COLQUITT PKWY,NOWTHEN,55330
796053098,RENSHAW,WILLIEMAE,3823 BROWNFIELD BLVD,WARBA,55793
512299024,KNISLEY,THORA,834 MCCOMB ST,STANCHFIELD,55080
701397724,HUTH,TOMIKO,5703 ANDRESS RD,ZERKEL,56621
426335146,CARLEY,PAULENE,4729 MOYNIHAN ST,SILICA,55746
525793680,ENDRES,REAGAN,9652 TYNES RD,MACVILLE,55785
406320855,LINES,YASMINE,2569 AUBIN RD,WEST UNION,56378
935150776,KIEL,AURORE,2451 ABSHER PKWY,BALATON,56115
149590284,COLOMBO,TASIA,8748 HOUSLEY BLVD,DODGE CENTER,55927
410981823,WINE,ARIANNE,7493 GLIDEWELL AVE,HOLST,56652
